"codigo","nombre","latitud","longitud"
01,AMAZONAS,-5.30976, -77.98095
02,ANCASH,-9.14548,-77.5415
03,APURIMAC,-13.85941,-72.8833
04,AREQUIPA,-15.47485,-72.04833
05,AYACUCHO,-14.45595,-73.91601
06,CAJAMARCA,-6.48998,-78.59619
07,CALLAO,-11.91841,-77.10342
08,CUSCO,-13.04737,-71.74072
09,HUANCAVELICA,-12.66177,-74.81689
10,HUANUCO,-9.16717,-76.06933
11,ICA,-14.04316,-75.25852
12,JUNIN,-11.35079,-74.50927
13,LA LIBERTAD,-7.84161,-78.53027
14,LAMBAYEQUE,-6.27161,-79.71679
15,LIMA,-11.95334,-76.28906
16,LORETO,-4.63117,-73.95996
17,MADRE DE DIOS,-11.67375,-70.3125
18,MOQUEGUA,-16.61513,-70.62011
19,PASCO,-10.25005,-74.9707
20,PIURA,-4.89394,-80.13427
21,PUNO,-14.6261,-69.8291
22,SAN MARTIN,-7.53983,-76.54177
23,TACNA,-17.35063,-70.11474
24,TUMBES,-3.83959,-80.56274
25,UCAYALI,-9.55741,-73.2788
