iddpto,nombdpto,capital
01,AMAZONAS,CHACHAPOYAS
02,ANCASH,HUARAZ
03,APURIMAC,ABANCAY
04,AREQUIPA,AREQUIPA
05,AYACUCHO,AYACUCHO
06,CAJAMARCA,CAJAMARCA
07,CALLAO,CALLAO
08,CUSCO,CUSCO
09,HUANCAVELICA,HUANCAVELICA
10,HUANUCO,HUANUCO
11,ICA,ICA
12,JUNIN,HUANCAYO
13,LA LIBERTAD,TRUJILLO
14,LAMBAYEQUE,CHICLAYO
15,LIMA,LIMA
16,LORETO,IQUITOS
17,MADRE DE DIOS,PUERTO MALDONADO
18,MOQUEGUA,MOQUEGUA
19,PASCO,CERRO DE PASCO
20,PIURA,PIURA
21,PUNO,PUNO
22,SAN MARTIN,MOYOBAMBA
23,TACNA,TACNA
24,TUMBES,TUMBES
25,UCAYALI,PUCALLPA
