"id","ubigeo","codigo","nombre","iddpto","idprov","provincia_id"
1,"010101","01",CHACHAPOYAS,"01","0101 ",1
2,"010102","02",ASUNCIÓN,"01","0101 ",1
3,"010103","03",BALSAS,"01","0101 ",1
4,"010104","04",CHETO,"01","0101 ",1
5,"010105","05",CHILIQUIN,"01","0101 ",1
6,"010106","06",CHUQUIBAMBA,"01","0101 ",1
7,"010107","07",GRANADA,"01","0101 ",1
8,"010108","08",HUANCAS,"01","0101 ",1
9,"010109","09",LA JALCA,"01","0101 ",1
10,"010110","10",LEIMEBAMBA,"01","0101 ",1
11,"010111","11",LEVANTO,"01","0101 ",1
12,"010112","12",MAGDALENA,"01","0101 ",1
13,"010113","13",MARISCAL CASTILLA,"01","0101 ",1
14,"010114","14",MOLINOPAMPA,"01","0101 ",1
15,"010115","15",MONTEVIDEO,"01","0101 ",1
16,"010116","16",OLLEROS,"01","0101 ",1
17,"010117","17",QUINJALCA,"01","0101 ",1
18,"010118","18",SAN FRANCISCO DE DAGUAS,"01","0101 ",1
19,"010119","19",SAN ISIDRO DE MAINO,"01","0101 ",1
20,"010120","20",SOLOCO,"01","0101 ",1
21,"010121","21",SONCHE,"01","0101 ",1
22,"010201","01",BAGUA,"01","0102 ",2
23,"010202","02",ARAMANGO,"01","0102 ",2
24,"010203","03",COPALLIN,"01","0102 ",2
25,"010204","04",EL PARCO,"01","0102 ",2
26,"010205","05",IMAZA,"01","0102 ",2
27,"010206","06",LA PECA,"01","0102 ",2
28,"010301","01",JUMBILLA,"01","0103 ",3
29,"010302","02",CHISQUILLA,"01","0103 ",3
30,"010303","03",CHURUJA,"01","0103 ",3
31,"010304","04",COROSHA,"01","0103 ",3
32,"010305","05",CUISPES,"01","0103 ",3
33,"010306","06",FLORIDA,"01","0103 ",3
34,"010307","07",JAZAN,"01","0103 ",3
35,"010308","08",RECTA,"01","0103 ",3
36,"010309","09",SAN CARLOS,"01","0103 ",3
37,"010310","10",SHIPASBAMBA,"01","0103 ",3
38,"010311","11",VALERA,"01","0103 ",3
39,"010312","12",YAMBRASBAMBA,"01","0103 ",3
40,"010401","01",NIEVA,"01","0104 ",4
41,"010402","02",EL CENEPA,"01","0104 ",4
42,"010403","03",RÍO SANTIAGO,"01","0104 ",4
43,"010501","01",LAMUD,"01","0105 ",5
44,"010502","02",CAMPORREDONDO,"01","0105 ",5
45,"010503","03",COCABAMBA,"01","0105 ",5
46,"010504","04",COLCAMAR,"01","0105 ",5
47,"010505","05",CONILA,"01","0105 ",5
48,"010506","06",INGUILPATA,"01","0105 ",5
49,"010507","07",LONGUITA,"01","0105 ",5
50,"010508","08",LONYA CHICO,"01","0105 ",5
51,"010509","09",LUYA,"01","0105 ",5
52,"010510","10",LUYA VIEJO,"01","0105 ",5
53,"010511","11",MARÍA,"01","0105 ",5
54,"010512","12",OCALLI,"01","0105 ",5
55,"010513","13",OCUMAL,"01","0105 ",5
56,"010514","14",PISUQUIA,"01","0105 ",5
57,"010515","15",PROVIDENCIA,"01","0105 ",5
58,"010516","16",SAN CRISTÓBAL,"01","0105 ",5
59,"010517","17",SAN FRANCISCO DE YESO,"01","0105 ",5
60,"010518","18",SAN JERÓNIMO,"01","0105 ",5
61,"010519","19",SAN JUAN DE LOPECANCHA,"01","0105 ",5
62,"010520","20",SANTA CATALINA,"01","0105 ",5
63,"010521","21",SANTO TOMAS,"01","0105 ",5
64,"010522","22",TINGO,"01","0105 ",5
65,"010523","23",TRITA,"01","0105 ",5
66,"010601","01",SAN NICOLÁS,"01","0106 ",6
67,"010602","02",CHIRIMOTO,"01","0106 ",6
68,"010603","03",COCHAMAL,"01","0106 ",6
69,"010604","04",HUAMBO,"01","0106 ",6
70,"010605","05",LIMABAMBA,"01","0106 ",6
71,"010606","06",LONGAR,"01","0106 ",6
72,"010607","07",MARISCAL BENAVIDES,"01","0106 ",6
73,"010608","08",MILPUC,"01","0106 ",6
74,"010609","09",OMIA,"01","0106 ",6
75,"010610","10",SANTA ROSA,"01","0106 ",6
76,"010611","11",TOTORA,"01","0106 ",6
77,"010612","12",VISTA ALEGRE,"01","0106 ",6
78,"010701","01",BAGUA GRANDE,"01","0107 ",7
79,"010702","02",CAJARURO,"01","0107 ",7
80,"010703","03",CUMBA,"01","0107 ",7
81,"010704","04",EL MILAGRO,"01","0107 ",7
82,"010705","05",JAMALCA,"01","0107 ",7
83,"010706","06",LONYA GRANDE,"01","0107 ",7
84,"010707","07",YAMON,"01","0107 ",7
85,"020101","01",HUARAZ,"02","0201 ",8
86,"020102","02",COCHABAMBA,"02","0201 ",8
87,"020103","03",COLCABAMBA,"02","0201 ",8
88,"020104","04",HUANCHAY,"02","0201 ",8
89,"020105","05",INDEPENDENCIA,"02","0201 ",8
90,"020106","06",JANGAS,"02","0201 ",8
91,"020107","07",LA LIBERTAD,"02","0201 ",8
92,"020108","08",OLLEROS,"02","0201 ",8
93,"020109","09",PAMPAS GRANDE,"02","0201 ",8
94,"020110","10",PARIACOTO,"02","0201 ",8
95,"020111","11",PIRA,"02","0201 ",8
96,"020112","12",TARICA,"02","0201 ",8
97,"020201","01",AIJA,"02","0202 ",9
98,"020202","02",CORIS,"02","0202 ",9
99,"020203","03",HUACLLAN,"02","0202 ",9
100,"020204","04",LA MERCED,"02","0202 ",9
101,"020205","05",SUCCHA,"02","0202 ",9
102,"020301","01",LLAMELLIN,"02","0203 ",10
103,"020302","02",ACZO,"02","0203 ",10
104,"020303","03",CHACCHO,"02","0203 ",10
105,"020304","04",CHINGAS,"02","0203 ",10
106,"020305","05",MIRGAS,"02","0203 ",10
107,"020306","06",SAN JUAN DE RONTOY,"02","0203 ",10
108,"020401","01",CHACAS,"02","0204 ",11
109,"020402","02",ACOCHACA,"02","0204 ",11
110,"020501","01",CHIQUIAN,"02","0205 ",12
111,"020502","02",ABELARDO PARDO LEZAMETA,"02","0205 ",12
112,"020503","03",ANTONIO RAYMONDI,"02","0205 ",12
113,"020504","04",AQUIA,"02","0205 ",12
114,"020505","05",CAJACAY,"02","0205 ",12
115,"020506","06",CANIS,"02","0205 ",12
116,"020507","07",COLQUIOC,"02","0205 ",12
117,"020508","08",HUALLANCA,"02","0205 ",12
118,"020509","09",HUASTA,"02","0205 ",12
119,"020510","10",HUAYLLACAYAN,"02","0205 ",12
120,"020511","11",LA PRIMAVERA,"02","0205 ",12
121,"020512","12",MANGAS,"02","0205 ",12
122,"020513","13",PACLLON,"02","0205 ",12
123,"020514","14",SAN MIGUEL DE CORPANQUI,"02","0205 ",12
124,"020515","15",TICLLOS,"02","0205 ",12
125,"020601","01",CARHUAZ,"02","0206 ",13
126,"020602","02",ACOPAMPA,"02","0206 ",13
127,"020603","03",AMASHCA,"02","0206 ",13
128,"020604","04",ANTA,"02","0206 ",13
129,"020605","05",ATAQUERO,"02","0206 ",13
130,"020606","06",MARCARA,"02","0206 ",13
131,"020607","07",PARIAHUANCA,"02","0206 ",13
132,"020608","08",SAN MIGUEL DE ACO,"02","0206 ",13
133,"020609","09",SHILLA,"02","0206 ",13
134,"020610","10",TINCO,"02","0206 ",13
135,"020611","11",YUNGAR,"02","0206 ",13
136,"020701","01",SAN LUIS,"02","0207 ",14
137,"020702","02",SAN NICOLÁS,"02","0207 ",14
138,"020703","03",YAUYA,"02","0207 ",14
139,"020801","01",CASMA,"02","0208 ",15
140,"020802","02",BUENA VISTA ALTA,"02","0208 ",15
141,"020803","03",COMANDANTE NOEL,"02","0208 ",15
142,"020804","04",YAUTAN,"02","0208 ",15
143,"020901","01",CORONGO,"02","0209 ",16
144,"020902","02",ACO,"02","0209 ",16
145,"020903","03",BAMBAS,"02","0209 ",16
146,"020904","04",CUSCA,"02","0209 ",16
147,"020905","05",LA PAMPA,"02","0209 ",16
148,"020906","06",YANAC,"02","0209 ",16
149,"020907","07",YUPAN,"02","0209 ",16
150,"021001","01",HUARI,"02","0210 ",17
151,"021002","02",ANRA,"02","0210 ",17
152,"021003","03",CAJAY,"02","0210 ",17
153,"021004","04",CHAVIN DE HUANTAR,"02","0210 ",17
154,"021005","05",HUACACHI,"02","0210 ",17
155,"021006","06",HUACCHIS,"02","0210 ",17
156,"021007","07",HUACHIS,"02","0210 ",17
157,"021008","08",HUANTAR,"02","0210 ",17
158,"021009","09",MASIN,"02","0210 ",17
159,"021010","10",PAUCAS,"02","0210 ",17
160,"021011","11",PONTO,"02","0210 ",17
161,"021012","12",RAHUAPAMPA,"02","0210 ",17
162,"021013","13",RAPAYAN,"02","0210 ",17
163,"021014","14",SAN MARCOS,"02","0210 ",17
164,"021015","15",SAN PEDRO DE CHANA,"02","0210 ",17
165,"021016","16",UCO,"02","0210 ",17
166,"021101","01",HUARMEY,"02","0211 ",18
167,"021102","02",COCHAPETI,"02","0211 ",18
168,"021103","03",CULEBRAS,"02","0211 ",18
169,"021104","04",HUAYAN,"02","0211 ",18
170,"021105","05",MALVAS,"02","0211 ",18
171,"021201","01",CARAZ,"02","0212 ",19
172,"021202","02",HUALLANCA,"02","0212 ",19
173,"021203","03",HUATA,"02","0212 ",19
174,"021204","04",HUAYLAS,"02","0212 ",19
175,"021205","05",MATO,"02","0212 ",19
176,"021206","06",PAMPAROMAS,"02","0212 ",19
177,"021207","07",PUEBLO LIBRE,"02","0212 ",19
178,"021208","08",SANTA CRUZ,"02","0212 ",19
179,"021209","09",SANTO TORIBIO,"02","0212 ",19
180,"021210","10",YURACMARCA,"02","0212 ",19
181,"021301","01",PISCOBAMBA,"02","0213 ",20
182,"021302","02",CASCA,"02","0213 ",20
183,"021303","03",ELEAZAR GUZMÁN BARRON,"02","0213 ",20
184,"021304","04",FIDEL OLIVAS ESCUDERO,"02","0213 ",20
185,"021305","05",LLAMA,"02","0213 ",20
186,"021306","06",LLUMPA,"02","0213 ",20
187,"021307","07",LUCMA,"02","0213 ",20
188,"021308","08",MUSGA,"02","0213 ",20
189,"021401","01",OCROS,"02","0214 ",21
190,"021402","02",ACAS,"02","0214 ",21
191,"021403","03",CAJAMARQUILLA,"02","0214 ",21
192,"021404","04",CARHUAPAMPA,"02","0214 ",21
193,"021405","05",COCHAS,"02","0214 ",21
194,"021406","06",CONGAS,"02","0214 ",21
195,"021407","07",LLIPA,"02","0214 ",21
196,"021408","08",SAN CRISTÓBAL DE RAJAN,"02","0214 ",21
197,"021409","09",SAN PEDRO,"02","0214 ",21
198,"021410","10",SANTIAGO DE CHILCAS,"02","0214 ",21
199,"021501","01",CABANA,"02","0215 ",22
200,"021502","02",BOLOGNESI,"02","0215 ",22
201,"021503","03",CONCHUCOS,"02","0215 ",22
202,"021504","04",HUACASCHUQUE,"02","0215 ",22
203,"021505","05",HUANDOVAL,"02","0215 ",22
204,"021506","06",LACABAMBA,"02","0215 ",22
205,"021507","07",LLAPO,"02","0215 ",22
206,"021508","08",PALLASCA,"02","0215 ",22
207,"021509","09",PAMPAS,"02","0215 ",22
208,"021510","10",SANTA ROSA,"02","0215 ",22
209,"021511","11",TAUCA,"02","0215 ",22
210,"021601","01",POMABAMBA,"02","0216 ",23
211,"021602","02",HUAYLLAN,"02","0216 ",23
212,"021603","03",PAROBAMBA,"02","0216 ",23
213,"021604","04",QUINUABAMBA,"02","0216 ",23
214,"021701","01",RECUAY,"02","0217 ",24
215,"021702","02",CATAC,"02","0217 ",24
216,"021703","03",COTAPARACO,"02","0217 ",24
217,"021704","04",HUAYLLAPAMPA,"02","0217 ",24
218,"021705","05",LLACLLIN,"02","0217 ",24
219,"021706","06",MARCA,"02","0217 ",24
220,"021707","07",PAMPAS CHICO,"02","0217 ",24
221,"021708","08",PARARIN,"02","0217 ",24
222,"021709","09",TAPACOCHA,"02","0217 ",24
223,"021710","10",TICAPAMPA,"02","0217 ",24
224,"021801","01",CHIMBOTE,"02","0218 ",25
225,"021802","02",CÁCERES DEL PERÚ,"02","0218 ",25
226,"021803","03",COISHCO,"02","0218 ",25
227,"021804","04",MACATE,"02","0218 ",25
228,"021805","05",MORO,"02","0218 ",25
229,"021806","06",NEPEÑA,"02","0218 ",25
230,"021807","07",SAMANCO,"02","0218 ",25
231,"021808","08",SANTA,"02","0218 ",25
232,"021809","09",NUEVO CHIMBOTE,"02","0218 ",25
233,"021901","01",SIHUAS,"02","0219 ",26
234,"021902","02",ACOBAMBA,"02","0219 ",26
235,"021903","03",ALFONSO UGARTE,"02","0219 ",26
236,"021904","04",CASHAPAMPA,"02","0219 ",26
237,"021905","05",CHINGALPO,"02","0219 ",26
238,"021906","06",HUAYLLABAMBA,"02","0219 ",26
239,"021907","07",QUICHES,"02","0219 ",26
240,"021908","08",RAGASH,"02","0219 ",26
241,"021909","09",SAN JUAN,"02","0219 ",26
242,"021910","10",SICSIBAMBA,"02","0219 ",26
243,"022001","01",YUNGAY,"02","0220 ",27
244,"022002","02",CASCAPARA,"02","0220 ",27
245,"022003","03",MANCOS,"02","0220 ",27
246,"022004","04",MATACOTO,"02","0220 ",27
247,"022005","05",QUILLO,"02","0220 ",27
248,"022006","06",RANRAHIRCA,"02","0220 ",27
249,"022007","07",SHUPLUY,"02","0220 ",27
250,"022008","08",YANAMA,"02","0220 ",27
251,"030101","01",ABANCAY,"03","0301 ",28
252,"030102","02",CHACOCHE,"03","0301 ",28
253,"030103","03",CIRCA,"03","0301 ",28
254,"030104","04",CURAHUASI,"03","0301 ",28
255,"030105","05",HUANIPACA,"03","0301 ",28
256,"030106","06",LAMBRAMA,"03","0301 ",28
257,"030107","07",PICHIRHUA,"03","0301 ",28
258,"030108","08",SAN PEDRO DE CACHORA,"03","0301 ",28
259,"030109","09",TAMBURCO,"03","0301 ",28
260,"030201","01",ANDAHUAYLAS,"03","0302 ",29
261,"030202","02",ANDARAPA,"03","0302 ",29
262,"030203","03",CHIARA,"03","0302 ",29
263,"030204","04",HUANCARAMA,"03","0302 ",29
264,"030205","05",HUANCARAY,"03","0302 ",29
265,"030206","06",HUAYANA,"03","0302 ",29
266,"030207","07",KISHUARA,"03","0302 ",29
