"id","nombre","ruc","sigla","direccion","telefono","email","web","categoria_id","ubigeo","distrito_id","provincia_id","departamento_id"
1,MINISTERIO DEL INTERIOR,"20131366966",MININTER,PLAZA 30 DE AGOSTO S/N URB. CORPAC,(01) 5180000 Anexo 2643,webmin@mininter.gob.pe,www.mininter.gob.pe,1,"150131",1324,128,15
2,MINISTERIO DE COMERCIO EXTERIOR Y TURISMO,"20504774288",MINCETUR,CALLE UNO OESTE N° 050 URB. CORPAC,(01) 5136100,falta@noespecifica.com,www.mincetur.gob.pe,1,"150131",1324,128,15
3,MINISTERIO DE DESARROLLO AGRARIO Y RIEGO,"20131372931",MINAGRI,AV. EL CORREGIDOR N° 155,"6135800 anx: 1114 – 1116",vmaita@midagri.gob.pe,www.minagri.gob.pe,1,"150114",1307,128,15
4,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,"20131371617",MINJUS,JR. SCIPIÓN LLONA 350,(01) 2048020,webmaster@minjus.gob.pe,www.minjus.gob.pe,1,"150122",1315,128,15
5,MINISTERIO DE RELACIONES EXTERIORES,"20131380101",RREE,JIRON LAMPA N° 545,"01- 2042400",webmaster@rree.gob.pe,www.rree.gob.pe,1,"150101",1294,128,15
6,MINISTERIO DE LA PRODUCCIÓN,"20504794637",PRODUCE,CALLE UNO OESTE N° 060 URB. CORPAC,"01- 6162222  Anexo 2331",portal@produce.gob.pe,https://sistemas.produce.gob.pe/?ReturnUrl=https%3A%2F%2Fetupa.produce.gob.pe%2F#/administrados,1,"150101",1294,128,15
7,MINISTERIO DE ENERGÍA Y MINAS,"20131368829",MINEM,AV. LAS ARTES SUR N° 260,(511) 4111100,webmaster@minem.gob.pe,www.minem.gob.pe,1,"150130",1323,128,15
8,"MINISTERIO DE VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO","20504743307",VIVIENDA,PASEO DE LA REPÚBLICA N°3361EDIFICIO DE PETROPERU,"01 2117930",coe-vivienda@vivienda.gob.pe,www.vivienda.gob.pe,1,"150131",1324,128,15
9,MINISTERIO DE DESARROLLO E INCLUSIÓN SOCIAL,"20545565359",MIDIS,AV. PASEO DE LA REPÚBLICA 3101,(511) 6318000,noespecifica@gmail.com,www.midis.gob.pe,1,"150131",1324,128,15
10,MINISTERIO DE EDUCACIÓN,"20131370998",MINEDU,AV. LA ARQUEOLOGÍA CDRA 2 CON CALLE EL COMERCIO N°,"01-6155800",webmaster@minedu.gob.pe,www.minedu.gob.pe,1,"150130",1323,128,15
11,MINISTERIO DEL AMBIENTE,"20492966658",MINAM,AVENIDA JAVIER PRADO OESTE N° 1440,(511) 611 6000  Anexo 1634,webmaster@minam.gob.pe,www.minam.gob.pe,1,"150120",1313,128,15
12,MINISTERIO DE CULTURA,"20537630222",MINCU,AV. JAVIER PRADO ESTE N° 2465,(511) 618 9393,webmaster@mcultura.gob.pe,https://plataformamincu.cultura.gob.pe/Administrados ,1,"150130",1323,128,15
