"id","ubigeo","codigo","codigo_departamento","nombre","latitud","longitud","departamento_id"
1,"0101","01","01", CHACHAPOYAS,-6.244310,-77.733760,1
2,"0102","02","01", BAGUA,-5.074520,-78.392940,1
3,"0103","03","01", BONGARÁ,-5.818220,-77.920530,1
4,"0104","04","01", CONDORCANQUI,-4.225890,-78.057860,1
5,"0105","05","01", LUYA,-6.369890,-78.096310,1
6,"0106","06","01", RODRÍGUEZ DE MENDOZA,-6.435400,-77.492060,1
7,"0107","07","01", UTCUBAMBA,-5.900180,-78.442380,1
8,"0201","01","02", HUARAZ,-9.557410,-77.670590,2
9,"0202","02","02", AIJA,-9.792970,-77.695310,2
10,"0203","03","02", ANTONIO RAYMONDI,-9.138700,-77.051230,2
11,"0204","04","02", ASUNCIÓN,-9.183440,-77.401420,2
12,"0205","05","02", BOLOGNESI,-10.204110,-77.129510,2
13,"0206","06","02", CARHUAZ,-9.318990,-77.593680,2
14,"0207","07","02", CARLOS FERMÍN FITZCARRALD,-9.018010,-77.233880,2
15,"0208","08","02", CASMA,-9.516780,-78.250120,2
16,"0209","09","02", CORONGO,-8.588480,-77.904730,2
17,"0210","10","02", HUARI,-9.413830,-77.062220,2
18,"0211","11","02", HUARMEY,-10.110830,-77.964470,2
19,"0212","12","02", HUAYLAS,-8.935270,-77.832640,2
20,"0213","13","02", MARISCAL LUZURIAGA,-8.849790,-77.286070,2
21,"0214","14","02", OCROS,-10.610660,-77.295680,2
22,"0215","15","02", PALLASCA,-8.350100,-77.960350,2
23,"0216","16","02", POMABAMBA,-8.757500,-77.503050,2
24,"0217","17","02", RECUAY,-10.020240,-77.530510,2
25,"0218","18","02", SANTA,-8.969180,-78.368220,2
26,"0219","19","02", SIHUAS,-8.506320,-77.579950,2
27,"0220","20","02", YUNGAY,-9.178020,-77.718650,2
28,"0301","01","03", ABANCAY,-13.790080,-72.847590,3
29,"0302","02","03", ANDAHUAYLAS,-13.840740,-73.493040,3
30,"0303","03","03", ANTABAMBA,-14.477230,-72.778930,3
31,"0304","04","03", AYMARAES,-14.376150,-73.267820,3
32,"0305","05","03", COTABAMBAS,-14.048660,-72.235100,3
33,"0306","06","03", CHINCHEROS,-13.493800,-73.679800,3
34,"0307","07","03", GRAU,-14.067310,-72.611380,3
35,"0401","01","04", AREQUIPA,-16.393930,-71.537470,4
36,"0402","02","04", CAMANÁ,-16.520360,-72.756950,4
37,"0403","03","04", CARAVELÍ,-15.765820,-73.954460,4
38,"0404","04","04", CASTILLA,-15.623030,-72.427360,4
39,"0405","05","04", CAYLLOMA,-15.697080,-71.702270,4
40,"0406","06","04", CONDESUYOS,-15.723580,-72.960190,4
41,"0407","07","04", ISLAY,-16.946460,-71.790160,4
42,"0408","08","04", LA UNIÒN,-15.125150,-72.866820,4
43,"0501","01","05", HUAMANGA,-13.234590,-74.245600,5
